cntry;name_minister;portfolio;party;party_fullname;party_abbr;party_nameen;orientation;ep_affiliation;eu_stance
ROU;Virgil Popescu;Minister of Energy;PNL;Partidul Național Liberal;PNL;National Liberal Party;Centre-right;EPP;"In favour of EU integration;"
ROU;Florin Spătaru;Minister of Economy;PSD;Partidul Social Democrat;PSD;Social Democratic Party;Centre-left;S&D;"Neutral towards EU integration;"
ROU;Marius Budăi;Minister of Labour and Social Solidarity;PSD;Partidul Social Democrat;PSD;Social Democratic Party;Centre-left;S&D;"Neutral towards EU integration;"
ROU;Tánczos Barna;Minister of Environment, Water and Forests;UDMR;Uniunea Democrată Maghiară din România;UDMR;Democratic Alliance of Hungarians in Romania;Centre-right;EPP;"In favour of EU integration;"
ROU;Sorin Grindeanu;Minister of Transport and Infrastructure;PSD;Partidul Social Democrat;PSD;Social Democratic Party;Centre-left;S&D;"Neutral towards EU integration;"
ROU;Adrian Câciu[22];Minister of Finance;Independent;NI;NI;NI;NI;NI;NI
ROU;Cătălin Predoiu;Minister of Justice;PNL;Partidul Național Liberal;PNL;National Liberal Party;Centre-right;EPP;"In favour of EU integration;"
ROU;Alexandru Rafila;Minister of Health;PSD;Partidul Social Democrat;PSD;Social Democratic Party;Centre-left;S&D;"Neutral towards EU integration;"
ROU;Dan Vîlceanu;Minister of Investments and European Projects;PNL;Partidul Național Liberal;PNL;National Liberal Party;Centre-right;EPP;"In favour of EU integration;"
ROU;Eduard Novak;Minister of Sport;UDMR;Uniunea Democrată Maghiară din România;UDMR;Democratic Alliance of Hungarians in Romania;Centre-right;EPP;"In favour of EU integration;"
ROU;Gabriela Firea;Minister of Family, Youth and Equality of Opportunity;PSD;Partidul Social Democrat;PSD;Social Democratic Party;Centre-left;S&D;"Neutral towards EU integration;"
ROU;Constantin Cadariu;Minister of Entrepreneurship and Tourism;PNL;Partidul Național Liberal;PNL;National Liberal Party;Centre-right;EPP;"In favour of EU integration;"
SWE;Stefan Löfven;Prime Minister;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Margot Wallström (de facto);Deputy Prime Ministernot a separate minister post;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Morgan Johansson (de facto);Deputy Prime Ministernot a separate minister post;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Isabella Lövin (de jure);Deputy Prime Ministernot a separate minister post;Green;Miljöpartiet;MP;Green Party;Green politics;Centre-left;Greens/EFA
SWE;Per Bolund (de jure);Deputy Prime Ministernot a separate minister post;Green;Miljöpartiet;MP;Green Party;Green politics;Centre-left;Greens/EFA
SWE;Hans Dahlgren;Minister for EU Affairs;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Morgan Johansson;Minister for JusticeMinister for Migration;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Mikael Damberg;Minister of the Interior;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Margot Wallström;Minister for Foreign Affairs;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Ann Linde;Minister for Foreign Affairs;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Ann Linde;Minister for Foreign Trade Minister for Nordic Cooperation;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Anna Hallberg;Minister for Foreign Trade Minister for Nordic Cooperation;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Peter Eriksson;Minister for International Development Cooperation;Green;Miljöpartiet;MP;Green Party;Green politics;Centre-left;Greens/EFA
SWE;Isabella Lövin (acting);Minister for International Development Cooperation;Green;Miljöpartiet;MP;Green Party;Green politics;Centre-left;Greens/EFA
SWE;Per Olsson Fridh;Minister for International Development Cooperation;Green;Miljöpartiet;MP;Green Party;Green politics;Centre-left;Greens/EFA
SWE;Peter Hultqvist;Minister for Defence;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
